lens_id,title,abstract,date_published,jurisdiction,cpc_codes
178-201-444-469-042,Bio-based adhesive material for roof shingles,"An adhesive product and method of making the product replaces asphalt in the manufacture of roofing shingles. The method comprises steps of forming a mixture of oil comprising fatty acids and a powdered catalyst operable to catalyze the polymerization of the oil; maintaining the oil to powdered catalyst weight ratio in the mixture between 1 to 0.01 and 1 to 4.9; heating the mixture to a reaction temperature greater than 100 degrees Centigrade; maintaining the reaction temperature for at least five minutes; and, injecting air into the mixture while maintaining the reaction temperature. In making a roofing shingle, the method includes additional steps of: applying the heated mixture to a fiberglass mat sheet from an upstream roll to form a tacky coated strip; and, adding a layer of granules to the tacky coated strip. The adhesive material of this method comprises polymerized oil and the powdered catalyst.",2011-05-31,US,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
179-068-248-280-310,UNSATURATED PHOTO-CURABLE BIO-BASED ADHESIVE COMPOSITION,"The present invention provides a composition comprising an unsaturated polycondensate comprising a component with at least one carbon-carbon double bond and at least two carboxylic acid groups or the respective diester derivatives, preferably itaconic acid or an itaconic acid diester, in combination with a diol or a dimer of a fatty alcohol and a diacid monomer different from the first mentioned component; and a component chosen from a tackifying resin and/or a low-Tg polyester polyol, and/or a plasticizer; wherein the unsaturated polycondensate is capable of being cured via a radical mechanism. The invention is also directed at an environment-friendly adhesive comprising said composition, at a method for preparing the adhesive and at the use of the adhesive for laminating a sheet or a film.",2015-01-07,EP,C09J167/08
179-471-602-012-977,BIO-BASED ADHESIVE FOR ELECTRICAL INSULATION,,2025-12-31,EP,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
180-858-710-212-812,Plywood bio-adhesive and preparation method for same,"The invention discloses a plywood bio-adhesive and a preparation method for the same. The plywood bio-adhesive is prepared from the following formula components in parts by mass: 5 to 15 parts of ethyl acrylate, 16 to 18 parts of dimethylamine, 5 to 15 parts of butyl acrylate, 2 to 6 parts of an emulsifier, 8 to 10 parts of diethylenetriamine, 12 to 14 parts of poly-ketoamine, 6 to 8 parts of triethylenetetramine, 13 to 15 parts of butyl methacrylate, 14 to 16 parts of polyethylene imine, 2 to 4 parts of a drier, 15 to 17 parts of glycidyl acrylate and 30 to 50 parts of ammonia water. The obtained adhesive has adhesion strength of an I typed adhesive, is free of formaldehyde and low in cost, and has high industrial popularization value, and the water resistance of an adhesive layer is improved.",2017-06-13,CN,C09J4/06
182-057-072-750-984,Bio-based adhesive as well as preparation method and application thereof,"The invention relates to a bio-based adhesive as well as a preparation method and application thereof. The bio-based adhesive is prepared from the following raw materials: a quaternary ammonium salt compound and a polyphenol compound. The bio-based adhesive has super-strong bonding strength to various materials, the bonding strength to glass is 0.41-8.15 MPa, the bonding strength to stainless steel is 0.35-8.11 MPa, the bonding strength to ceramic is 0.45-14.41 MPa, the bio-based adhesive is excellent in reusability, the bonding strength is not greatly reduced after the bio-based adhesive is repeatedly used for five times, the bio-based adhesive is excellent in organic solvent resistance, and the bio-based adhesive can be applied to various materials. And after long-term soaking in an organic solvent, relatively high bonding strength is still maintained.",2025-04-25,CN,C09J197/005; C08G63/66; C08H6/00; C09J167/00
182-425-497-859-383,HEAT RESISTANCE BIO-ADHESIVES,"An adhesive material produced by contacting a catechol with an amine may be stable under heated conditions and produce minimal outgassing under vacuum. The catechol may be an un-substituted catechol or a substituted catechol, such as hydroxychavicol. In some examples, the catechol may be derived from botanical sources. The amine may be a diamine, such as phenylene diamine. The adhesive polymer may form dendritic structures or macrocyclic structures. A joined article may be fabricated from two materials by applying the adhesive to a prepared surface of at least one of the materials, and the two materials may be placed together with the adhesive between them. The adhesive in the joined article may be cured at ambient temperature or under heating conditions.",2015-04-30,US,C09J4/00; C09J4/00
184-017-595-422-660,BIO-BASED ADHESIVE COMPOSITION BASED ON LIGNIN,,2024-12-25,EP,C09J197/005; C08H6/00; C09J197/005; C08H6/00; C09J5/00; C09J2497/00
189-311-596-198-129,"NATURAL ADHESIVE, NATURAL ADHESIVE FOR INTERIOR MATERIAL COMPRISING THE NATURAL ADHESIVE, NATURAL PAINT COMPRISING THE NATURAL ADHESIVE, AND CONSTRUCTION METHOD USING THE NATURAL ADHESIVE FOR INTERIOR MATERIAL AND THE NATURAL PAINT","The present invention relates to a natural adhesive, a natural adhesive for an interior material comprising the natural adhesive, a natural paint comprising the natural adhesive, and a construction method using the natural adhesive for an interior material and the natural paint, wherein the natural adhesive includes plantain extract, slippery elm extract, abelmoschus manihot extract, lotus extract, and visible vine extract.",2013-12-31,KR,C09J193/00; C08K3/346; C09D7/61; C09D193/00; C09J11/04; E04B1/92
190-530-066-034-448,BIOBASED ADHESIVE COMPOSITIONS AND METHODS OF MAKING THE SAME.,An adhesive composition comprising a lignin-based tackifying agent exhibiting a glass transition temperature no greater than 120Â°C and a thermoplastic polymer.,2024-01-29,MX,C09J123/0853; C09J197/005; C09J5/06; C09J123/0853
191-650-193-151-885,BIO-ADHESIVE AND WOOD BOARD,"The invention relates to a bio-adhesive. In accordance with the invention, the bio-adhesive is formed by reaction, selected from the group of esterification, condensation and their combinations, of natural based binder material containing active groups with a reactant having reactive groups capable of forming bonds with -OH and/or -NH2 groups of the binder material. Further, the invention relates to a wood board in which veneers are glued by the bio-adhesive.",2011-04-14,WO,C09J105/02; C08L97/02; C09J197/00; C09J197/005
192-388-766-510-474,BIOBASED ADHESIVE COMPOSITIONS AND METHODS OF MAKING THE SAME,An adhesive composition comprising a lignin-based tackifying agent exhibiting a glass transition temperature no greater than 120°C and a thermoplastic polymer.,2022-12-29,CA,C09J123/0853; C09J197/005; C09J5/06; C09J123/0853
193-491-488-282-820,Degradable water-based bio-based adhesive and preparation method thereof,"The invention relates to the technical field of adhesives, in particular to a degradable water-based bio-based adhesive and a preparation method thereof. The water-based bio-based adhesive is prepared from the following components: 30 to 40 parts of polyether glycol, 40 to 50 parts of lysine diisocyanate, 1 to 5 parts of dibutyltin dilaurate, 40 to 60 parts of dimethyl succinate, 0.5 to 2 parts of organic bismuth catalyst, 40 to 60 parts of 1, 4-butanediol, 1 to 3 parts of tetrabutyl titanate, 5 to 10 parts of dimethylolpropionic acid, 20 to 30 parts of tannic acid, 6 to 10 parts of filler, 3 to 6 parts of antioxidant and 20 to 30 parts of deionized water. According to the adhesive disclosed by the invention, polyether glycol and lysine diisocyanate react to generate polyurethane, and dimethyl succinate can react with 1, 4-butanediol to generate poly (butylene succinate), so that a copolymer of polyurethane and poly (butylene succinate) is formed, and the adhesive has high bonding strength and good biodegradability at the same time; the pollution of the adhesive to the environment is reduced.",2026-03-10,CN,C09J175/08; C09J11/04; C09J11/06; C08G18/4018; C08G18/48; C08G18/42; C08L2201/06
194-068-302-829-305,High-strength bio-based adhesive and preparation method thereof,"The invention discloses a high-strength bio-based adhesive and a preparation method thereof. The nano-crystalline cellulose adhesive comprises nano-crystalline cellulose, an adhesive active component and an auxiliary component. The preparation method comprises the following steps: firstly, mixing lignin and tannin, and adding water; adjusting the pH value of the mixture, and reacting under a first temperature condition; secondly, adding a glyoxal solution, reacting under a second temperature condition, and filtering a reaction product after the reaction is finished to obtain a mixture of glyoxal lignin and tannin; then adding nanocellulose, and uniformly stirring at a certain rotating speed to obtain a nanocellulose-containing adhesive system; finally, hexylamine and starch are added into the nano-cellulose-containing adhesive system for curing treatment, and the high-strength bio-based adhesive is obtained after curing. After the nano cellulose is stably dispersed in water, a dispersion liquid with high viscosity can be formed, and the nano cellulose is adopted as an adhesive component, so that the adhesive strength of the adhesive can be enhanced, and the tensile strength of the adhesive can also be improved.",2024-06-04,CN,C09J197/005; C09J11/06
199-987-561-941-659,Full-bio-based adhesive prepared from beans as raw material as well as preparation method and application of full-bio-based adhesive,"The invention discloses a full-bio-based adhesive prepared from beans and a preparation method and application thereof, and relates to the technical field of adhesives, the full-bio-based adhesive comprises the following raw materials by weight: 100 parts of water, 10-20 parts of powdery soybean protein substances, 2-5 parts of a bio-based cross-linking agent, 1-3 parts of tannic acid, and 0.1-2 parts of phytic acid. The invention also provides a preparation method which comprises the following steps: uniformly mixing the water, the powdery soybean protein substance and the dispersing agent, adjusting the pH value to 10-11, then adding the tannic acid and the phytic acid, adding the cross-linking agent, continuously heating and stirring, finally adding the defoaming agent and the bacteriostatic agent, and uniformly stirring to obtain the adhesive. The adhesive prepared by the method can effectively form a compact cross-linked structure after being applied to bamboo wood, wood, plywood and other materials and subjected to hot pressing treatment, has the advantages of high dry/wet strength, good water resistance, low carbon, environment friendliness, no wastewater or toxic and irritant gas in the production process, low processing temperature, biodegradability and the like, and has a wide application prospect.",2025-10-21,CN,C09J189/00; C09J11/06; C09J11/08
007-233-300-314-063,Artificial board material containing natural adhesive,"The invention discloses an artificial board material containing a natural adhesive. The artificial board material containing the natural adhesive is prepared from, by weight part, 10-20 parts of corn cobs, 1-4 parts of melon seed shells, 30-40 parts of board leftovers, 2-6 parts of calcium carbonate, 3-5 parts of modifying compound powder and 10-20 parts of the adhesive. The obtained artificial board material contains the core cobs and the melon seed shells, the corn cobs have certain pores, the volume weight can be reduced, the heat-preserving effect can be improved, and meanwhile a certain sound insulation effect is achieved; and due to use of the melon seed shells, waste is turned into wealth, the volume weight is reduced, the modification compound weight is increased and well compatible with the rest of raw materials, the defects of the corn cobs and the melon seed shells are overcome, and the strength of the artificial board material is improved.",2016-09-14,CN,B27N3/02; B27N3/002; B27N3/007; B27N3/10; C08K2201/014; C08L2205/025; C08L2205/035; C09J11/06; C09J105/00
010-617-873-099-015,"BIO-BASED ADHESIVE COMPRISING YEAST PROTEIN EXTRACTS FROM LIQUID INDUSTRIAL WASTE FROM THE BREWING AND BREAD INDUSTRIES, REINFORCED WITH NANOLIGNIN AND AT LEAST ONE CROSS-LINKING AGENT, USEFUL FOR THE PRODUCTION OF PARTICLE BOARD (PB), PLYWOOD (PW) AND ORIENTED STRAND BOARD (OSB)","The invention relates to a bio-based adhesive for the sustainable production of particle board (PB), plywood (PW) and oriented strand board (OSB). The adhesive according to the invention is protein-based and comprises a yeast protein extract from yeast from liquid industrial waste from the brewing industry or a mixture of yeast protein extracts from yeast from liquid industrial waste from the brewing and bread industries, and it is reinforced with nanolignin and at least one cross-linking agent, which can be selected from resorcinol, glyoxal, diphenylmethane diisocyanate, glutaraldehyde, melamine, lignosulfonate or a mixture thereof. The invention also relates to a preparation method for said adhesive and the production of said boards.",2024-07-04,WO,B27N3/00; B27N3/06; B32B37/12; C09J189/00; C09J199/00
010-838-183-651-801,Curved-surface photovoltaic tile prepared by adopting bio-based adhesive film and preparation method of curved-surface photovoltaic tile,"The invention discloses a curved-surface photovoltaic tile prepared by adopting a bio-based adhesive film and a preparation method of the curved-surface photovoltaic tile, and relates to the technical field of photovoltaic building integration. S1, preparing curved glass; s2, preparing an acrylate adhesive film; s3, photovoltaic tile integration preparation; the preparation method of the acrylate adhesive film comprises the following steps: 1, preparing raw materials; 2, stirring and mixing; 3, polymerization reaction; 4, removing impurities; and 5, mold forming. The curved-surface photovoltaic tile is prepared by adopting the acrylate adhesive film, the biocompatibility is high, the degradability is good, compared with a traditional petroleum-based vinyl adhesive film, the influence on the environment is small in the production and use process, and compared with a traditional plane photovoltaic tile, the curved-surface photovoltaic tile can better utilize sunlight, and the sunlight utilization rate is high. Due to the low water permeability and oxygen permeability of the bio-based adhesive film, the stability and integrity of the structure of the curved-surface photovoltaic tile can be kept under the severe weather condition, and the photoelectric conversion efficiency of the photovoltaic tile is further improved through the acrylate adhesive film.",2024-09-27,CN,C09J133/064; E04D1/10; E04D1/28; E04D1/30; E04D2001/308; H02S20/25
011-851-129-541-25X,"MODIFIED GUAYULE RESIN/SOY PROTEIN BLENDS FOR BIO-BASED ADHESIVES, ASSOCIATED METHODS FOR FORMING SAME, AND ASSOCIATED STRUCTURES INCLUDING SUCH ADHESIVES",,2024-10-30,EP,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
013-477-021-777-557,High-strength and water-resistant bio-based adhesive as well as preparation method and application thereof,"The invention designs a high-strength and water-resistant bio-based adhesive as well as a preparation method and application thereof, and belongs to the field of bio-based adhesives in high polymer materials. The bio-based adhesive disclosed by the invention is a compact solid and comprises the following raw material components: bio-based polyphenol, a modifying reagent 1, a modifying reagent 2 and a modifying reagent 3. The preparation method of the bio-based adhesive comprises the following steps: uniformly stirring bio-based polyphenol and a modifying reagent 1, reacting at a certain temperature, and separating and purifying to obtain a product 1; uniformly stirring a modifying reagent 2 and a modifying reagent 3, adding a proper amount of water and hydrochloric acid, reacting at a certain temperature, and separating and purifying to obtain a product 2; and uniformly mixing the product 1 and the product 2 to obtain the bio-based adhesive with excellent performance. The bio-based adhesive provided by the invention has the advantages of environmental protection, degradability, high bonding strength, good water resistance, low curing cost and the like.",2025-07-15,CN,C09J197/005; C08G77/388; C08H6/00; C09J183/08
015-029-483-735-523,A Composite of Bio-natural adhesive by using Fructan from Microbes,"The present invention provides a composition of a bio-natural adhesive, which does not contain volatile organic compounds (VOCs) and the like and volatile gases are not emitted although excellent adhesion ability is obtained, and especially, which contains a Levan glue solution, a starch solution and a natural mineral having excellent environmental friendliness and human harmlessness since ammonia gas does not dissipate.",2018-06-25,KR,C09J105/00; C09J11/04; C09J103/00
025-129-472-642-402,A FUNCTIONAL PAPER BOX USING A NATURAL ADHESIVE,"The present invention relates to a high-functional packing material using a natural adhesive and, more specifically, to a high-functional packing material using a natural adhesive, which prevents harmful materials from being exhausted by bonding the packing materials to be manufactured to each other using a natural adhesive. The high-functional packing material is bonded using an adhesion composition comprising a natural adhesive, which includes elements extracted from garlic, and a functional inorganic material.",2014-12-31,KR,B65D65/14; B31F5/00; C09J193/00
035-933-298-730-449,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS",,2024-10-23,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
050-001-485-120-375,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD","The present invention refers to novel formaldehyde-free bio-based adhesive compositions, adhesive systems comprising, isolated one of another, said adhesive composition (component A) and at least one hardener agent (component B), and adhesive mixtures comprising the adhesive composition and the hardener agent. These adhesive compositions, systems and mixtures can be used for plywood manufacturing.",2022-08-24,EP,C09J189/00; C09J197/00; C09J199/00
052-296-221-472-397,PRODUCTS COMPRISING AT LEAST ONE SYNTHETIC-RUBBER PRESSURE-SENSITIVE ADHESIVE COMPRISING BIO-BASED ADHESIVE RESINS AND PRODUCTION PROCESS FOR THESE,Pressure-sensitive adhesive comprising at least one synthetic rubber based on at least one vinylaromatic (A) and at least one diene (B); the proportion of synthetic rubber being at most 45% by weight; at least one bio-based adhesive resin based to an extent of at least 85% on renewable raw materials and making up a proportion of at least 1% by weight to at most 25% by weight of the entire composition of the pressure-sensitive adhesive.,2016-02-04,US,C09J153/02; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J193/04; C09J153/00; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J153/02; C09J193/04
056-875-061-596-981,NATURAL ADHESIVE USING GARLIC AND FABRICATING METHOD OF THE SAME,"The present invention relates to a natural adhesive using garlic and a fabricating method thereof, and, more particularly to a very preservative, adhesive, nonpoisonous and high-performance natural adhesive, which is a chemical-free natural adhesive using garlic with high antibiosis as a major ingredient, capable of efficiently preventing a variety of damages due to volatile organic compounds by employing no chemicals throughout the whole fabricating procedures, and a fabricating method thereof. In detail, the present invention provides a natural adhesive using garlic fabricated by filtering and concentrating an extracted liquid obtained from a mixture of pulverized garlic and water. In addition, the present invention provides a method of fabricating a natural adhesive using garlic, including: (a) preparing and pulverizing garlic; (b) adding a solvent into the pulverized garlic; (c) extracting an extracted liquid from a mixture of the pulverized garlic and water; (d) filtering the extracted liquid; and (e) concentrating the filtered extracted liquid.",2011-01-06,US,C09J193/00; C09J193/00; C09J193/00
059-378-729-363-216,"Algal Bio-adhesives: Compositions, Process for Manufacturing, Formulations and Uses","Algal bio-adhesives consisting of algae biomass, crosslinking agents, and fillers, and optionally with other additives to form aqueous bio-adhesives as substitutes of formaldehyde based glue for wood panel process are disclosed. The algal bio-adhesives can also be used for other purposes such as biomedical, marine, and automotive industrial applications. There is also provided a process for preparing such algal bio-adhesives which comprising the steps of: a) combining algal material, a cross-linking agent and inorganic fillers to form a blend by mechanical blender; b) micronising the blend to obtain powdery material and c) mixing the powdery material with water, optionally with the addition of other additives such as defoaming agent, thickener, wet strength agent and another crosslinking agent to form algae based bio-adhesives.",2015-09-30,GB,C08L97/02; B27N3/002; C08G18/6484; C08G18/7664; C08H99/00; C08J3/03; C08J3/12; C08J3/20; C08J2399/00; C08K3/013; C08K3/22; C08K3/346; C08K5/0025; C08K2003/2206; C08L75/04; C08L99/00; C09J199/00; C09J105/04
064-345-813-753-911,Special high-transparency natural adhesive for cigars and preparation method thereof,"The invention relates to a special high-transparency natural adhesive for cigars and a preparation method of the special high-transparency natural adhesive. The preparation method comprises the following steps: preparing powder, mixing, preparing glue, swelling and homogenizing. Konjac glucomannan and A-type Arabic gum are used as main materials, good thickening property, biological activity and synergistic interaction of KGM and GA are utilized, beta-cyclodextrine is used as an auxiliary material, and the special high-transparency natural adhesive for cigars, which is excellent in comprehensive performance, moderate in viscosity, relatively good in transparency and relatively high in stability, is prepared. And the problems of white marks, peculiar smell, easiness in mildewing and the like in the use process of the traditional CMC adhesive for cigars can be well solved. The raw materials are natural, green, healthy and low in price, the preparation process is simple and environment-friendly, the storage time can be prolonged by utilizing the characteristic that konjac glucomannan has natural antibiotics, the effect of preventing mildew is achieved to a certain extent, no preservative is added, the nutritional ingredients and sensory quality of the cigar finished product are not influenced, and the cigar is suitable for large-scale production. High-end Chinese cigars are brought to vast consumers, and safety and health are also brought.",2022-03-01,CN,C09J105/02; C08L2201/10; C09J11/08
065-807-081-640-339,"Natural adhesives comprising lacquer, and isinglass or animal glue and the method thereof",,2014-07-28,KR,C09J193/00; C09J11/00
068-170-658-208-430,NATURAL ADHESIVE FOR INTERIOR MATERIAL NATURAL PAINT CONSTRUCTION METHOD OF INTERIOR MATERIAL AND CONSTRUCTION METHOD USING THE NATURAL ADHESIVE FOR INTERIOR MATERIAL AND THE NATURAL PAINT,"본 발명은, 천연접착제에 황토 분말, 수산화마그네슘 분말, 조개 분말, 및 천연광물질 분말을 첨가하여 천연내장재 접착제 및 천연페인트로 사용하더라도 상기 분말에 대한 고착력이 우수하여 상기 분말의 쏠림 현상을 방지하고 인장성능이 향상됨으로서 안정적인 접착성능을 발휘할 수 있는 천연내장재 접착제, 천연페인트, 이러한 천연내장재 접착제 및 천연페인트를 이용한 유해물질 차단 내장재 시공방법 및 유해물질 차단 시공방법에 관한 것이다.",2018-07-31,KR,C09J11/04; C08J7/02; C08K3/013; C09D7/61; C09D7/70; C09D103/02; C09D107/02; C09J103/02; C09J107/02; C09J197/00
071-453-556-536-327,"Algal bio-adhesives; compositions,process for manufacturing,formulations and uses",,2014-02-26,GB,C08L97/02; B27N3/002; C08G18/6484; C08G18/7664; C08H99/00; C08J3/03; C08J3/12; C08J3/20; C08J2399/00; C08K3/013; C08K3/22; C08K3/346; C08K5/0025; C08K2003/2206; C08L75/04; C08L99/00; C09J199/00; C09J105/04
073-568-638-422-502,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD",,2024-01-03,EP,C09J189/00; C09J197/00; C09J199/00
079-826-768-711-297,"NATURAL ADHESIVES COMPRISING LACQUER, AND ISINGLASS OR ANIMAL GLUE AND THE METHOD THEREOF","The present invention relates to a natural adhesive including lacquer and isinglass or animal glue dissolved in water at a weight ratio of 1-9:1. The natural adhesive according to the present invention has appropriate viscosity, improved tensile strength, and self-adhesive strength, can be used as an adhesive, and more preferably can be used for restoring relics since the natural adhesive can be dried in ordinary environments. [Reference numerals] (AA) Crude lacquer;(BB) Crude lacquer : fish glue;(CC) Crude lacquer : glue;(DD,HH) Lacquer:glue=7:3;(EE) Refined coating;(FF) Refined coating : fish glue;(GG) Refined coating : glue",2013-12-09,KR,C09J193/00; C09J11/00
080-752-921-693-213,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD","La presente invención se refiere a nuevas composiciones adhesivas de base biológica libres de formaldehído, sistemas adhesivos que comprenden, aislados entre sí, dicha composición adhesiva (componente A) y al menos un agente endurecedor (componente B), y mezclas adhesivas que comprenden la composición adhesiva y el agente endurecedor. Estas composiciones, sistemas y mezclas adhesivas se pueden utilizar para la fabricación de madera contrachapada. (Traducción automática con Google Translate, sin valor legal)",2025-02-17,ES,C09J189/00; C09J197/00; C09J199/00
085-033-568-564-605,"MODIFIED GUAYULE RESIN/SOY PROTEIN BLENDS FOR BIO-BASED ADHESIVES, ASSOCIATED METHODS FOR FORMING SAME, AND ASSOCIATED STRUCTURES INCLUDING SUCH ADHESIVES",,2023-08-23,EP,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
092-275-318-538-194,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS","The present invention refers to novel formaldehyde-free adhesive compositions comprising at least one bio-based adhesive from a renewable resource, adhesive systems comprising, isolated one of another, an adhesive composition (component A) and at least one hardener agent (component B), as well as an adhesive mixture comprising both the adhesive composition and the at least one hardener agent. These adhesive compositions, systems and mixtures described in this document can be used for manufacturing wood composite boards such as wood fibreboards, particleboards, chipboards, oriented strand boards, plywood and paperboards, but also of fibreglass insulations or rock wool insulations.",2022-08-24,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
097-592-386-496-222,PRODUCTS COMPRISING AT LEAST ONE SYNTHETIC-RUBBER PRESSURE-SENSITIVE ADHESIVE COMPRISING BIO-BASED ADHESIVE RESINS AND PRODUCTION PROCESS FOR THESE,,2016-02-03,EP,C09J153/02; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J193/04; C09J153/00; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J153/02; C09J193/04
104-880-131-212-37X,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD",,2024-10-09,EP,C09J189/00; C09J197/00; C09J199/00
107-071-927-711-210,"Natural adhesive gained from the Pourthiaea villosa's leaf and process for gaining it, and method manufacturing Korean paper with the adhesive",,2011-05-20,KR,C09J101/02; C09J189/00; D21H11/12; D21H17/25
111-520-886-724-458,NATURAL ADHESIVE FOR INTERIOR MATERIAL NATURAL PAINT CONSTRUCTION METHOD OF INTERIOR MATERIAL AND CONSTRUCTION METHOD USING THE NATURAL ADHESIVE FOR INTERIOR MATERIAL AND THE NATURAL PAINT,"The present invention relates to a natural interior material adhesive, a natural paint, a method for constructing a harmful substance-blocking interior material using the natural interior material adhesive and the natural paint, and a harmful substance-blocking construction method. Even when using the natural interior material adhesive and the natural paint by adding red clay powder, magnesium hydroxide powder, shell powder, and natural mineral powder to a natural adhesive, it is possible to prevent the powder from being pulled to one side due to excellent adhesion to the powder. In addition, since tensile properties are improved, it is possible to secure stable adhesion performance.",2018-05-28,KR,C09J11/04; C08J7/02; C08K3/013; C09D7/61; C09D7/70; C09D103/02; C09D107/02; C09J103/02; C09J107/02; C09J197/00
113-946-904-975-367,"Distiller's grain (DG) based bio-adhesives: compositions, uses and processes for manufacturing",,2014-03-12,GB,C09J199/00; B27N3/002; C08G18/6446; C08G18/7671; C08G18/8061; C08G2170/80; C08K3/22; C08K3/346; C08K2003/2206; C08L97/02; C08L99/00; C09J163/00; C09J175/04; C09J103/02; C08G18/72; C09J199/00
114-557-439-795-666,PRODUCTS COMPRISING AT LEAST ONE SYNTHETIC-RUBBER PRESSURE-SENSITIVE ADHESIVE COMPRISING BIO-BASED ADHESIVE RESINS AND PRODUCTION PROCESS FOR THESE,"The invention relates to a pressure-sensitive adhesive comprising at least one synthetic rubber based on at least one vinylaromatic (A) and on at least one diene (B) and comprising block copolymers or else mixtures of these with a structure A-B-A and/or (A-B) n and derivatives thereof, where n is an integer which is at least 2, A is a polymer block comprising at least one vinylaromatic and B is a polymer block comprising at least one diene, and the proportion of the synthetic rubbers in the entire composition of the pressure-sensitive adhesive is at most 45% by weight, at least one bio-based adhesive resin and/or adhesive-resin mixture based to an extent of at least 85% by weight on renewable raw materials and having a softening point of at least 80°C and at most 110°C and making up a proportion of at least 35% by weight to at most 64% by weight of the entire composition of the pressure-sensitive adhesive, and at least one bio-based soft resin and/or soft-resin mixture based to an extent of at least 85% by weight on renewable raw materials and making up a proportion of at least 1% by weight to at most 25% by weight of the entire composition of the pressure-sensitive adhesive, where the entire pressure-sensitive adhesive without solvent corresponds to 100% by weight.",2014-10-02,WO,C09J153/02; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J193/04; C09J153/00; C08L53/02; C08L93/04; C09J7/383; C09J7/387; C09J153/02; C09J193/04
122-512-669-040-593,NATURAL ADHESIVE USING GARLIC AND FABRICATING METHOD OF THE SAME,,2013-05-08,EP,C09J193/00; C09J193/00; C09J193/00
122-867-014-593-579,"MODIFIED GUAYULE RESIN/SOY PROTEIN BLENDS FOR BIO-BASED ADHESIVES, ASSOCIATED METHODS FOR FORMING SAME, AND ASSOCIATED STRUCTURES INCLUDING SUCH ADHESIVES","An adhesive composition for use in coupling together two substrates to form a structure, such as for use in coupling together two wooden substrates to form a wooden structure, includes a mixture of a modified guayule resin and soy protein. The modified guayule resin can be a base- solvent modified guayule resin or can be an HiCh-modified guayule resin each respectively formed from an unmodified guayule base resin. The unmodified guayule base resin is obtained in a rubber extraction process of guayule at solvent removal temperatures ranging from 104 to 166 degrees Celsius. The method for forming the adhesive composition includes forming a modified guayule resin and mixing the formed modified guayule resin with soy protein. The adhesive composition, when used in forming structures, provides enhanced wet shear strength as compared with adhesive compositions including soy protein alone.",2023-05-04,WO,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
134-184-309-868-675,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS",,2025-03-17,PL,C09J189/00; C09J197/00; C09J197/005; C09J199/00
